date,activity_id,name,type,distance_km,duration_min,pace_min_km,avg_hr,max_hr,calories,elev_gain_m,avg_cadence,aerobic_te,anaerobic_te,training_load,vo2max
2026-01-21,21626533853,Richmond Running,running,1.41,56.1,39.82,125.0,172.0,471.0,0.0,5.0,2.1,2.0,56.0,
2026-01-20,21614884236,Vancouver Running,running,7.75,44.9,5.79,147.0,166.0,573.0,1.0,138.0,3.3,1.0,113.0,55.0
2026-01-20,21614719839,Vancouver Running,running,1.09,14.4,13.18,116.0,143.0,120.0,5.0,79.0,0.9,0.7,19.0,
2026-01-19,21603773794,Pool Swim,lap_swimming,1.38,51.7,37.58,128.0,165.0,465.0,,,2.6,2.0,71.0,
2026-01-19,21600212250,Richmond Running,running,10.01,49.7,4.97,162.0,174.0,719.0,15.0,172.0,4.2,0.0,163.0,54.0
2026-01-16,21571851422,Ice Hockey,ice_hockey,,68.4,,120.0,174.0,500.0,,,2.2,2.5,73.0,
2026-01-15,21557667643,Richmond Running,running,10.01,54.0,5.39,158.0,172.0,743.0,5.0,172.0,3.9,0.0,132.0,54.0
2026-01-12,21529841202,Pool Swim,lap_swimming,1.88,53.3,28.4,132.0,165.0,528.0,,,3.0,2.2,93.0,
2026-01-08,21488468911,Richmond Running,running,10.01,53.9,5.39,153.0,177.0,722.0,3.0,166.0,3.7,1.3,131.0,54.0
2026-01-07,21488468499,Ice Hockey,ice_hockey,,65.1,,126.0,177.0,508.0,,,2.4,2.8,90.0,
2026-01-01,21415593484,Richmond Running,running,10.0,52.3,5.23,158.0,175.0,723.0,4.0,168.0,3.9,0.5,139.0,54.0
2025-12-31,21407606310,Pool Swim,lap_swimming,0.53,16.7,31.85,156.0,175.0,241.0,,,3.0,0.3,67.0,
2025-12-28,21378909232,Delta Running,running,21.21,118.9,5.61,153.0,169.0,1512.0,14.0,165.0,4.5,0.0,179.0,54.0
2025-12-26,21360544881,Pool Swim,lap_swimming,0.62,16.5,26.47,148.0,171.0,226.0,,,2.8,0.5,60.0,
2025-12-25,21350068465,Richmond Running,running,13.53,78.7,5.82,151.0,173.0,993.0,14.0,166.0,3.7,0.0,120.0,54.0
2025-12-24,21344283355,Pool Swim,lap_swimming,0.57,17.1,29.73,151.0,169.0,250.0,,,3.0,0.4,66.0,
2025-12-13,21251289260,Ice Hockey,ice_hockey,,58.1,,111.0,169.0,373.0,,,1.8,2.5,59.0,
2025-12-07,21198622341,Ice Hockey,ice_hockey,,76.1,,128.0,184.0,657.0,,,2.8,3.4,147.0,
2025-12-02,21155573355,Ice Hockey,ice_hockey,,69.3,,117.0,178.0,480.0,,,2.1,2.8,87.0,
2025-11-30,21135828552,Vancouver Running,running,16.13,85.7,5.32,156.0,177.0,1181.0,141.0,168.0,4.5,0.0,179.0,55.0
2025-11-23,21071571163,Richmond Running,running,8.45,52.1,6.16,138.0,152.0,620.0,14.0,161.0,3.0,0.0,71.0,55.0
2025-11-22,21065585633,Ice Hockey,ice_hockey,,67.9,,115.0,178.0,469.0,,,2.1,3.1,106.0,
2025-11-19,21039434684,Vancouver Running,running,10.01,49.6,4.95,162.0,179.0,732.0,93.0,169.0,4.1,0.1,158.0,55.0
2025-11-18,21030410759,Ice Hockey,ice_hockey,,70.8,,126.0,181.0,584.0,,,2.4,2.8,93.0,
2025-11-16,21009584275,Abbotsford Running,running,5.62,32.2,5.73,153.0,172.0,432.0,87.0,164.0,3.1,0.0,77.0,55.0
2025-11-14,20992081041,Ice Hockey,ice_hockey,,61.9,,126.0,182.0,515.0,,,2.3,2.9,96.0,
2025-11-12,20973062441,Vancouver Running,running,10.01,54.7,5.46,160.0,176.0,767.0,114.0,168.0,3.8,0.2,135.0,55.0
2025-11-09,20941466724,Richmond Running,running,8.98,63.4,7.05,134.0,158.0,649.0,13.0,150.0,3.1,0.0,76.0,55.0
2025-11-08,20934802878,Ice Hockey,ice_hockey,,80.4,,120.0,178.0,577.0,,,2.4,3.1,116.0,
2025-11-04,20896543918,Ice Hockey,ice_hockey,,57.5,,121.0,175.0,435.0,,,2.1,2.6,80.0,
2025-11-03,20885178751,Vancouver Running,running,6.22,35.7,5.74,146.0,154.0,462.0,36.0,164.0,2.8,0.0,63.0,55.0
2025-10-29,20837593507,Ice Hockey,ice_hockey,,59.1,,121.0,178.0,443.0,,,2.1,3.0,106.0,
2025-10-27,20817236586,Vancouver Running,running,21.24,112.6,5.3,155.0,175.0,1534.0,169.0,168.0,4.3,0.0,190.0,55.0
